stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
0,2,10,142.5539715,143.0842501,143.0842501,143.1013152,143.3858176,right,10,,1,1,87.7153803,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
1,1,8,230.8224223,231.3220241,231.3220241,231.3220241,231.6219173,left,-8,TRUE,0,0,17.1360906,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
2,1,9,248.4829581,248.9662925,248.9662925,248.9829614,249.2660118,right,9,,1,1,15.4697838,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
3,1,9,264.4609821,264.9603068,264.9603068,264.9603068,265.2605446,right,9,FALSE,1,1,14.8392215,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
4,1,9,279.8220402,280.3049628,280.3049628,280.3219574,280.6060141,right,9,,1,1,38.7525485,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
5,0.5,8,319.0758006,319.5591115,319.5591115,319.5761761,319.8592781,left,-8,TRUE,0,0,0.6457026,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
6,0.5,8.5,320.2255813,320.7084538,320.7084538,320.7253827,321.0085644,right,8.5,,1,1,1.1257602,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
7,0.5,8.5,321.8588557,322.3410196,322.3410196,322.3577733,322.6410067,left,-8.5,TRUE,0,0,32.1792476,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
8,0.5,9,354.5473524,355.0471212,355.0471212,355.0471212,355.3466293,left,-9,,0,0,16.0207472,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
9,0.5,9.5,371.0913559,371.5914679,371.5914679,371.5914679,371.891282,right,9.5,TRUE,1,1,1.4927522,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
10,0.5,9.5,373.107367,373.590888,373.590888,373.6075079,373.8908296,right,9.5,,1,1,4.5128752,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
11,0.5,9.5,378.1220556,378.6054895,378.6054895,378.6225899,378.9056763,right,9.5,,1,1,0.6800893,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
12,0.5,9,379.3051855,379.7884997,379.7884997,379.8051564,380.0885818,right,9,,1,1,0.4351924,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
13,0.5,9,380.2552191,380.7386737,380.7386737,380.7555577,381.0385268,right,9,,1,1,0.5412621,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
14,0.5,9,381.3050337,381.8050145,381.8050145,381.8050145,382.1050928,left,-9,,0,0,0.3674354,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
15,0.5,9.5,382.2044938,382.7046713,382.7046713,382.7046713,383.0032694,left,-9.5,,1,1,0.7883661,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
16,0.5,9.5,383.5207135,384.0202463,384.0202463,384.0202463,384.3202017,right,9.5,,1,1,0.5176388,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
17,0.5,9.5,384.57002,385.0537022,385.0537022,385.0711185,385.3538451,right,9.5,,1,1,0.4780377,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
18,0.5,9,385.5538432,386.0366246,386.0366246,386.0523428,386.3367692,left,-9,,0,0,17.965617,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
19,0.5,9.5,404.0301498,404.529766,404.529766,404.529766,404.8299417,left,-9.5,,0,0,12.9034205,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
20,0.5,10,417.45912,417.9421969,417.9421969,417.9593771,418.2418804,right,10,,1,1,66.2544373,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
21,0.5,10,484.2200735,484.7032128,484.7032128,484.7204496,485.0033801,right,10,,1,1,0.7273618,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
22,0.5,10,485.4530027,485.9361331,485.9361331,485.9529297,486.2356885,left,-10,TRUE,1,1,1.4779154,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
23,0.5,9.5,487.4352587,487.918915,487.918915,487.9354086,488.2185217,right,9.5,,1,1,31.2082616,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
24,0.5,9.5,519.1577758,519.6414143,519.6414143,519.6580758,519.9410824,right,9.5,,1,1,0.40448,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
25,0.5,9.5,520.0746057,520.55695,520.55695,520.5740999,520.8573739,left,-9.5,TRUE,1,1,0.8423538,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
26,0.5,9,521.4244447,521.92403,521.92403,521.92403,522.2234616,right,9,,0,0,0.3750144,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
27,0.5,9.5,522.32387,522.8066897,522.8066897,522.8238223,523.1068808,left,-9.5,,0,0,0.446887,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
28,0.5,10,523.2735003,523.773073,523.773073,523.773073,524.0726884,right,10,,1,1,0.3191196,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
29,0.5,10,524.1228408,524.6060597,524.6060597,524.6228325,524.9059196,right,10,,1,1,35.9678271,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
30,0.5,10,560.5947919,561.0935679,561.0935679,561.0935679,561.3935637,left,-10,,0,0,6.868473,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
31,0.5,10.5,567.9916209,568.4910041,568.4910041,568.4910041,568.7912114,right,10.5,TRUE,1,1,0.3004789,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
32,0.5,10.5,568.807643,569.3074855,569.3074855,569.3074855,569.6074258,right,10.5,,1,1,40.1909339,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
33,0.5,10.5,609.527295,610.0110167,610.0110167,610.0286298,610.3113051,right,10.5,,1,1,1.5326561,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
34,0.5,10,611.5599817,612.0442088,612.0442088,612.0602008,612.3434949,right,10,,1,1,1.4044095,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
35,0.5,10,613.4763815,613.9759076,613.9759076,613.9759076,614.2756687,left,-10,,0,0,2.9547478,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
36,0.5,10.5,616.9585394,617.4579212,617.4579212,617.4579212,,right,10.5,,1,1,0.2373086,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
37,0.5,10.5,617.7246151,618.2077198,618.2077198,618.224656,618.5075547,right,10.5,,1,1,11.2104825,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
38,0.5,10.5,629.4375803,629.9371538,629.9371538,629.9371538,,left,-10.5,,0,0,0.2480382,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
39,0.5,11,630.2032243,630.6868015,630.6868015,630.7042017,630.9874487,right,11,,1,1,0.7107322,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
40,0.5,11,631.4198366,631.9198084,631.9198084,631.9198084,632.2197691,left,-11,,1,1,0.3308075,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
41,0.5,11,632.2696026,632.7692565,632.7692565,632.7692565,633.069567,right,11,,1,1,0.3928828,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
42,0.5,10.5,633.1860218,633.6694702,633.6694702,633.6858207,633.9689369,left,-10.5,,1,1,0.3181801,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
43,0.5,10.5,634.0194815,634.502567,634.502567,634.5196311,634.8025515,right,10.5,,1,1,0.3883867,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
44,0.5,10.5,634.9195016,635.4019362,635.4019362,635.4194343,635.7024574,right,10.5,,0,0,0.2769615,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
45,0.5,11,635.7024574,636.1860464,636.1860464,636.2033216,636.4865286,left,-11,,0,0,8.4560315,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
46,0.5,11.5,644.6654559,645.1649297,645.1649297,645.1649297,645.4656747,right,11.5,,1,1,0.2777728,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
47,0.5,11.5,645.4656747,645.9656401,645.9656401,645.9656401,646.2648811,left,-11.5,,1,1,0.3320622,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
48,0.5,11.5,646.3146954,646.7979097,646.7979097,646.8149886,647.0976417,left,-11.5,,0,0,0.3353704,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
49,0.5,12,647.1644794,647.6486836,647.6486836,647.6648833,647.9472531,right,12,,0,0,3.9144724,313433,1,2023-09-01_11h56.11.286,adaptive_staircase,2023.1.3,60.9462515
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,-3.428571429,,,,,,,,,,,,,,,,,
,threshold,-3.428571429,,,,,,,,,,,,,,,,,
